,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
672,Du Queiroz,br BRA,MF,Sport Recife,25,2000,11,615,56,18.0,6.8,8,68,1,3,25,0,0.27,3,12,-9,-1.32,-0.10,Matches,8440b0cb
673,Igor Rabello,br BRA,DF,Fluminense,29,1995,4,144,36,4.2,1.6,2,67,1,2,5,7,1.25,1,1,0,0.00,-0.30,Matches,48048864
674,Igor Rabello,br BRA,DF,Atlético Mineiro,29,1995,4,189,47,5.5,2.1,2,90,2,2,5,10,1.75,2,2,0,0.00,+0.03,Matches,48048864
675,Zé Rafael,br BRA,MF,Santos,31,1993,27,1854,69,54.2,20.6,22,79,8,5,22,1,1.41,17,28,-11,-0.53,-0.88,Matches,634b1413
676,Rafinha,br BRA,DF,Sport Recife,18,2006,1,45,45,1.3,0.5,0,,0,1,45,1,0.00,0,1,-1,-2.00,-0.77,Matches,90c2b7c0
677,André Ramalho,br BRA,DF,Corinthians,32,1992,21,1780,85,52.0,19.8,20,89,17,1,9,10,1.29,21,24,-3,-0.15,-0.04,Matches,7483d9f9
678,Eric Ramires,br BRA,MF,RB Bragantino,24,2000,31,1786,58,52.2,19.8,24,68,6,7,23,1,1.16,26,32,-6,-0.30,+0.03,Matches,37faa4cb
679,Ramon,br BRA,DF,Internacional,23,2001,5,329,66,9.6,3.7,4,80,3,1,10,11,0.40,0,7,-7,-1.91,-1.74,Matches,fdf88bc0
680,Ramon,br BRA,DFMF,Vitória,23,2001,18,1620,90,47.4,18.0,18,90,18,0,,0,1.33,15,28,-13,-0.72,-0.52,Matches,fdf88bc0
681,Lucas Ramon,br BRA,DF,Mirassol,30,1994,31,2604,84,76.1,28.9,30,85,24,1,45,1,1.55,43,29,+14,+0.48,-0.62,Matches,58933a04
682,Chris Ramos,es ESP,FW,Botafogo–RJ,28,1997,13,718,55,21.0,8.0,8,71,2,5,30,3,1.46,11,12,-1,-0.13,-0.82,Matches,44e07fac
683,David Ramos,br BRA,MF,Atlético Mineiro,19,2005,0,,,,,0,,0,0,,2,,,,,,,Matches,5d839567
684,Santi Ramos Mingo,ar ARG,DF,Bahia,23,2001,33,2926,89,85.6,32.5,33,89,31,0,,0,1.61,43,40,+3,+0.09,-0.09,Matches,fe0a346d
685,Rafael Ramos,pt POR,DFMF,Ceará,30,1995,20,904,45,26.4,10.0,9,80,6,11,17,16,1.05,6,14,-8,-0.80,-0.87,Matches,f8ddf51c
686,Raniele,br BRA,MFDF,Corinthians,28,1996,30,2013,67,58.9,22.4,25,75,11,5,30,2,1.13,25,29,-4,-0.18,-0.11,Matches,a025365f
687,Wellington Rato,br BRA,FWMF,Vitória,32,1992,5,212,42,6.2,2.4,3,54,0,2,25,2,0.60,1,5,-4,-1.70,-1.33,Matches,598917cf
688,Pedro Raul,br BRA,FW,Ceará,28,1996,34,2896,85,84.7,32.2,34,85,21,0,,0,1.15,29,32,-3,-0.09,+0.42,Matches,ed074559
689,Rayan,br BRA,MFFW,Vasco da Gama,18,2006,34,2835,83,82.9,31.5,32,87,22,2,29,1,1.06,45,48,-3,-0.10,+0.21,Matches,288647fc
690,Raykkonen,br BRA,FW,Internacional,16,2008,7,124,18,3.6,1.4,0,,0,7,18,11,0.71,2,0,+2,+1.45,+1.86,Matches,3114f93a
691,Reginaldo,br BRA,DF,Juventude,31,1993,18,1170,65,34.2,13.0,14,77,7,4,24,20,1.17,11,27,-16,-1.23,-0.51,Matches,b018b2b6
692,Reinaldo,br BRA,DF,Mirassol,35,1989,34,2892,85,84.6,32.1,33,87,30,1,11,0,1.74,53,32,+21,+0.65,+0.14,Matches,ab3edc87
693,Reinier,br BRA,FWMF,Atlético Mineiro,23,2002,13,333,26,9.7,3.7,3,60,0,10,15,8,0.69,1,8,-7,-1.89,-2.07,Matches,6b21b7b5
694,Robert Renan,br BRA,DF,Vasco da Gama,21,2003,15,1287,86,37.6,14.3,15,86,13,0,,2,1.33,22,23,-1,-0.07,+0.10,Matches,168a2e81
695,Cristian Renato,br BRA,FW,Mirassol,24,2000,32,1351,42,39.5,15.0,11,68,1,21,29,4,1.88,28,15,+13,+0.87,+0.39,Matches,349504e0
696,Renê,br BRA,DF,Fluminense,32,1992,28,2362,84,69.1,26.2,27,87,24,1,16,5,1.89,38,21,+17,+0.65,+1.16,Matches,d000ffc7
697,Renzo,br BRA,DF,Sport Recife,23,2001,0,,,,,0,,0,0,,3,,,,,,,Matches,8e66b649
698,Rezende,br BRA,MFDF,Bahia,30,1995,11,580,53,17.0,6.4,5,87,4,6,25,19,0.91,5,14,-9,-1.40,-1.81,Matches,dfddb0f9
699,Murilo Rhikman,br BRA,MF,Cruzeiro,18,2006,2,8,4,0.2,0.1,0,,0,2,4,16,1.50,0,0,0,0.00,-0.63,Matches,9e91b234
700,Rhyan,br BRA,GK,Botafogo–RJ,19,2006,0,,,,,0,,0,0,,5,,,,,,,Matches,c1424ecb
701,Everton Ribeiro,br BRA,MF,Bahia,35,1989,31,1925,62,56.3,21.4,25,70,1,6,29,1,1.61,29,21,+8,+0.37,+0.61,Matches,68fb50a2
702,Ricardo,br BRA,MF,Vitória,30,1994,20,882,44,25.8,9.8,11,68,2,9,15,13,0.90,7,16,-9,-0.92,-0.63,Matches,2a5cdcd1
703,João Ricardo Riedi,br BRA,GK,Fortaleza,36,1988,14,1260,90,36.8,14.0,14,90,14,0,,2,1.14,15,18,-3,-0.21,+0.29,Matches,4729d71a
704,Richard,br BRA,MF,Internacional,30,1994,7,275,39,8.0,3.1,3,66,0,4,19,7,0.57,4,10,-6,-1.96,-1.76,Matches,e90aa5da
705,Richard,br BRA,GK,Ceará,33,1991,0,,,0.0,0.0,0,,0,0,,19,0.00,1,2,-1,,,Matches,f2c12e8d
706,Richardson,br BRA,MF,Ceará,33,1991,16,790,49,23.1,8.8,10,70,1,6,16,10,1.44,7,8,-1,-0.11,+0.06,Matches,ef6b8a6b
707,Charles Rigon Matos,br BRA,MFDF,Corinthians,28,1996,17,571,34,16.7,6.3,6,72,2,11,13,14,1.71,8,6,+2,+0.32,+0.54,Matches,6ff91a3a
708,Emiliano Rigoni,ar ARG,FW,São Paulo,31,1993,10,294,29,8.6,3.3,2,56,1,8,23,5,1.20,3,9,-6,-1.84,-1.89,Matches,a1216563
709,Tomás Rincón,ve VEN,MF,Santos,37,1988,17,922,54,27.0,10.2,11,71,5,6,23,16,1.29,3,11,-8,-0.78,-0.89,Matches,f1cfc209
710,Richard Ríos,co COL,MF,Palmeiras,24,2000,10,733,73,21.4,8.1,10,73,2,0,,0,2.00,7,5,+2,+0.25,-0.79,Matches,72da065d
711,Riquelme,br BRA,MF,Sport Recife,18,2007,2,23,12,0.7,0.3,0,,0,2,12,8,0.00,0,2,-2,-7.83,-6.63,Matches,1c1828c3
