,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
1,Gabriel Abdias,br BRA,DF,Botafogo–RJ,18,2006,0,,,,,0,,0,0,,1,,,,,,,Matches,ca540bc9
2,Abner,br BRA,DF,Juventude,20,2004,19,1318,69,38.5,14.6,13,85,10,6,35,12,1.11,15,28,-13,-0.89,+0.01,Matches,6c0ef11c
3,Nicolás Acevedo,uy URU,MF,Bahia,25,1999,32,1690,53,49.4,18.8,18,76,6,14,23,5,1.72,26,23,+3,+0.16,+0.11,Matches,6140be7b
4,Luciano Acosta,ar ARG,MF,Fluminense,30,1994,16,1199,75,35.1,13.3,15,77,0,1,49,1,1.88,19,10,+9,+0.68,+0.59,Matches,363ba6d7
5,Adriel,br BRA,MF,Sport Recife,18,2006,5,148,30,4.3,1.6,1,45,0,4,26,6,0.00,0,5,-5,-3.04,-1.89,Matches,959e965c
6,Adson,br BRA,MF,Vasco da Gama,24,2000,10,210,21,6.1,2.3,0,,0,10,21,0,1.20,3,5,-2,-0.86,-0.77,Matches,eda38706
7,Braian Aguirre,ar ARG,DFMF,Internacional,24,2000,30,2389,80,69.9,26.5,28,83,22,2,28,2,1.27,30,44,-14,-0.53,-0.61,Matches,74b396d8
8,Carlos Alberto,br BRA,MFFW,Sport Recife,22,2002,9,330,37,9.6,3.7,4,58,0,5,20,1,0.22,1,9,-8,-2.18,-1.05,Matches,08f48d96
9,Yuri Alberto,br BRA,FW,Corinthians,23,2001,26,2005,77,58.6,22.3,21,87,14,5,38,0,1.35,26,30,-4,-0.18,-0.12,Matches,65159211
10,José Aldo,br BRA,MF,Mirassol,26,1998,30,1369,46,40.0,15.2,15,71,2,15,20,7,1.63,28,15,+13,+0.85,+0.37,Matches,2f90595a
11,João Alencar,br BRA,DF,Santos,17,2007,0,,,,,0,,0,0,,1,,,,,,,Matches,0fd7d99f
12,Alesson,br BRA,FWMF,Mirassol,25,1999,26,1456,56,42.6,16.2,16,72,1,10,31,0,1.81,33,16,+17,+1.05,+0.73,Matches,611e984e
13,Caio Alexandre,br BRA,MF,Bahia,25,1999,21,1303,62,38.1,14.5,17,72,3,4,20,2,1.76,16,15,+1,+0.07,-0.06,Matches,08ac23b7
14,Matheus Alexandre,br BRA,DF,Sport Recife,25,1999,26,1779,68,52.0,19.8,20,81,14,6,27,5,0.50,17,43,-26,-1.32,-0.16,Matches,0212e748
15,Alexsander,br BRA,MF,Atlético Mineiro,21,2003,14,828,59,24.2,9.2,8,75,1,6,38,2,1.21,14,11,+3,+0.33,+0.46,Matches,b13e7a78
16,Alisson,br BRA,MF,São Paulo,31,1993,31,1960,63,57.3,21.8,21,80,12,10,28,1,1.23,19,25,-6,-0.28,-0.40,Matches,99139fa4
17,Allan,br BRA,GK,Vasco da Gama,21,2004,0,,,,,0,,0,0,,1,,,,,,,Matches,ad5cd8fb
18,Allan,br BRA,MF,Palmeiras,20,2004,28,921,33,26.9,10.2,8,65,2,20,20,7,2.11,16,9,+7,+0.68,-0.25,Matches,aae04867
19,Allan,br BRA,MF,Botafogo–RJ,34,1991,21,965,46,28.2,10.7,11,74,4,10,15,10,1.71,12,14,-2,-0.19,-0.99,Matches,cc700722
20,Allan,br BRA,MF,Flamengo,27,1997,13,683,53,20.0,7.6,9,72,5,4,8,11,2.31,14,2,+12,+1.58,+0.30,Matches,b15e93aa
21,Allanzinho,br BRA,MF,Fortaleza,24,2000,9,287,32,8.4,3.2,2,79,0,7,18,9,0.67,3,5,-2,-0.63,-0.25,Matches,21e7822d
22,Allex,br BRA,MF,Internacional,18,2006,0,,,,,0,,0,0,,8,,,,,,,Matches,8a8200ca
23,Júnior Alonso,py PAR,DF,Atlético Mineiro,31,1993,31,2610,84,76.3,29.0,31,84,23,0,,0,1.32,33,31,+2,+0.07,+0.40,Matches,b18a3023
24,Bruno Alves,br BRA,DF,Cruzeiro,19,2005,0,,,,,0,,0,0,,2,,,,,,,Matches,637c7c17
25,Dyogo Alves,br BRA,GK,Flamengo,21,2004,1,90,90,2.6,1.0,1,90,1,0,,2,1.00,3,3,0,0.00,-1.38,Matches,be620844
26,João Alves,br BRA,MF,Flamengo,19,2005,0,,,,,0,,0,0,,2,,,,,,,Matches,ab0e9723
27,Matheus Alves,br BRA,MF,São Paulo,19,2005,8,371,46,10.8,4.1,4,65,0,4,28,3,1.00,5,4,+1,+0.24,+0.39,Matches,177f810f
28,Alysson,br BRA,MFFW,Grêmio,18,2006,31,1718,55,50.2,19.1,21,66,2,10,33,2,1.32,27,24,+3,+0.16,+0.47,Matches,99b63a82
29,Guilherme Amorim,br BRA,,Corinthians,17,2008,0,,,,,0,,0,0,,1,,,,,,,Matches,c8a4d35a
30,Francis Amuzu,be BEL,MF,Grêmio,25,1999,22,1145,52,33.5,12.7,13,71,0,9,25,5,1.27,20,20,0,0.00,+0.12,Matches,4f0fbd15
31,João Ananias,br BRA,DF,Santos,17,2007,0,,,,,0,,0,0,,3,,,,,,,Matches,91c13988
32,Felipe Anderson,br BRA,MF,Palmeiras,31,1993,31,1773,57,51.8,19.7,24,65,2,7,31,3,2.03,42,19,+23,+1.17,+0.62,Matches,9f1893b9
33,Kervin Andrade,ve VEN,MF,Fortaleza,19,2005,7,163,23,4.8,1.8,1,45,0,6,20,7,0.88,6,3,+3,+1.66,+2.15,Matches,4d3dafbc
34,André,br BRA,MF,Corinthians,18,2006,9,315,35,9.2,3.5,1,90,1,8,28,4,1.33,8,8,0,0.00,+0.14,Matches,867660e8
35,Andrei,br BRA,DF,Vitória,19,2005,0,,,,,0,,0,0,,2,,,,,,,Matches,c43d6582
36,José Andrés Martínez,ve VEN,MF,Corinthians,30,1994,24,1396,58,40.8,15.5,17,71,4,7,27,1,1.08,12,17,-5,-0.32,-0.32,Matches,c8364e8e
37,Wilker Ángel,ve VEN,DF,Juventude,31,1993,18,1423,79,41.6,15.8,16,84,12,2,41,6,1.17,14,29,-15,-0.95,-0.09,Matches,1155a7ba
38,Fabrizio Angileri,ar ARG,DF,Corinthians,30,1994,28,1638,59,47.9,18.2,17,84,14,11,18,5,1.25,22,26,-4,-0.22,-0.17,Matches,fdd26d71
39,Anthoni,br BRA,GK,Internacional,23,2002,18,1530,85,44.7,17.0,16,90,16,2,45,16,1.06,19,27,-8,-0.47,-0.23,Matches,a0b17b31
40,Marcos Antônio,br BRA,MF,São Paulo,24,2000,28,1896,68,55.4,21.1,23,77,10,5,27,1,1.64,27,23,+4,+0.19,+0.66,Matches,108fe016
41,Léo Aragão,br BRA,GK,Cruzeiro,22,2002,4,334,84,9.8,3.7,3,90,3,1,64,33,1.75,6,4,+2,+0.54,-0.10,Matches,47e05bd9
42,Guilherme Arana,br BRA,DFMF,Atlético Mineiro,27,1997,25,1748,70,51.1,19.4,20,79,13,5,33,1,1.04,27,29,-2,-0.10,-0.16,Matches,2b15a82a
43,Aranha,br BRA,GK,Palmeiras,19,2005,0,,,,,0,,0,0,,3,,,,,,,Matches,316795a6
44,Willian Arão,br BRA,MF,Santos,32,1992,13,779,60,22.8,8.7,9,79,5,4,16,4,1.69,13,8,+5,+0.58,+0.92,Matches,f47a530a
45,Luiz Araújo,br BRA,MF,Flamengo,28,1996,35,1765,50,51.6,19.6,15,77,7,20,30,1,2.17,44,16,+28,+1.43,+0.18,Matches,fa18c72e
46,Lyan Araujo,br BRA,FW,Bahia,15,2009,0,,,,,0,,0,0,,1,,,,,,,Matches,b257849f
47,Matheus Araújo,br BRA,MF,Ceará,22,2002,11,270,25,7.9,3.0,2,68,0,9,15,13,0.91,4,6,-2,-0.67,-0.55,Matches,2b0a4a75
48,Michel Araujo,uy URU,MF,Bahia,28,1996,24,852,36,24.9,9.5,8,64,1,16,21,3,1.83,20,11,+9,+0.95,+1.13,Matches,1159e4ae
49,Alexander Aravena,cl CHI,MF,Grêmio,22,2002,22,581,26,17.0,6.5,3,62,0,19,21,10,0.95,6,8,-2,-0.31,-0.28,Matches,4535ab5d
