,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
1,Abner,br BRA,DF,Juventude,20,2004,14.6,0,3,1,33.3,0.20,0.07,0.00,0.00,0,0,Matches,6c0ef11c
2,Nicolás Acevedo,uy URU,MF,Bahia,25,1999,18.8,0,20,9,45.0,1.07,0.48,0.00,0.00,0,0,Matches,6140be7b
3,Luciano Acosta,ar ARG,MF,Fluminense,30,1994,13.3,3,22,8,36.4,1.65,0.60,0.14,0.38,0,0,Matches,363ba6d7
4,Adriel,br BRA,MF,Sport Recife,18,2006,1.6,0,1,0,0.0,0.61,0.00,0.00,,0,0,Matches,959e965c
5,Adson,br BRA,MF,Vasco da Gama,24,2000,2.3,0,3,2,66.7,1.29,0.86,0.00,0.00,0,0,Matches,eda38706
6,Braian Aguirre,ar ARG,DFMF,Internacional,24,2000,26.5,1,24,3,12.5,0.90,0.11,0.04,0.33,0,0,Matches,74b396d8
7,Carlos Alberto,br BRA,MFFW,Sport Recife,22,2002,3.7,0,3,2,66.7,0.82,0.55,0.00,0.00,0,0,Matches,08f48d96
8,Yuri Alberto,br BRA,FW,Corinthians,23,2001,22.3,10,64,22,34.4,2.87,0.99,0.16,0.45,2,3,Matches,65159211
9,José Aldo,br BRA,MF,Mirassol,26,1998,15.2,0,21,7,33.3,1.38,0.46,0.00,0.00,0,0,Matches,2f90595a
10,Alesson,br BRA,FWMF,Mirassol,25,1999,16.2,6,30,12,40.0,1.85,0.74,0.20,0.50,0,0,Matches,611e984e
11,Caio Alexandre,br BRA,MF,Bahia,25,1999,14.5,0,10,1,10.0,0.69,0.07,0.00,0.00,0,0,Matches,08ac23b7
12,Matheus Alexandre,br BRA,DF,Sport Recife,25,1999,19.8,0,9,2,22.2,0.46,0.10,0.00,0.00,0,0,Matches,0212e748
13,Alexsander,br BRA,MF,Atlético Mineiro,21,2003,9.2,1,13,4,30.8,1.41,0.43,0.08,0.25,0,0,Matches,b13e7a78
14,Alisson,br BRA,MF,São Paulo,31,1993,21.8,0,18,7,38.9,0.83,0.32,0.00,0.00,0,0,Matches,99139fa4
15,Allan,br BRA,MF,Palmeiras,20,2004,10.2,2,26,9,34.6,2.54,0.88,0.08,0.22,0,0,Matches,aae04867
16,Allan,br BRA,MF,Botafogo–RJ,34,1991,10.7,0,3,1,33.3,0.28,0.09,0.00,0.00,0,0,Matches,cc700722
17,Allan,br BRA,MF,Flamengo,27,1997,7.6,0,5,1,20.0,0.66,0.13,0.00,0.00,0,0,Matches,b15e93aa
18,Allanzinho,br BRA,MF,Fortaleza,24,2000,3.2,0,7,0,0.0,2.20,0.00,0.00,,0,0,Matches,21e7822d
19,Júnior Alonso,py PAR,DF,Atlético Mineiro,31,1993,29.0,1,15,4,26.7,0.52,0.14,0.07,0.25,0,0,Matches,b18a3023
20,Dyogo Alves,br BRA,GK,Flamengo,21,2004,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,be620844
21,Matheus Alves,br BRA,MF,São Paulo,19,2005,4.1,0,7,0,0.0,1.70,0.00,0.00,,0,0,Matches,177f810f
22,Alysson,br BRA,MFFW,Grêmio,18,2006,19.1,1,40,13,32.5,2.10,0.68,0.03,0.08,0,0,Matches,99b63a82
23,Francis Amuzu,be BEL,MF,Grêmio,25,1999,12.7,4,43,17,39.5,3.38,1.34,0.09,0.24,0,0,Matches,4f0fbd15
24,Felipe Anderson,br BRA,MF,Palmeiras,31,1993,19.7,4,37,11,29.7,1.88,0.56,0.11,0.36,0,0,Matches,9f1893b9
25,Kervin Andrade,ve VEN,MF,Fortaleza,19,2005,1.8,0,4,2,50.0,2.21,1.10,0.00,0.00,0,0,Matches,4d3dafbc
26,André,br BRA,MF,Corinthians,18,2006,3.5,2,5,2,40.0,1.43,0.57,0.40,1.00,0,0,Matches,867660e8
27,José Andrés Martínez,ve VEN,MF,Corinthians,30,1994,15.5,1,13,4,30.8,0.84,0.26,0.08,0.25,0,0,Matches,c8364e8e
28,Wilker Ángel,ve VEN,DF,Juventude,31,1993,15.8,1,11,6,54.5,0.70,0.38,0.09,0.17,0,0,Matches,1155a7ba
29,Fabrizio Angileri,ar ARG,DF,Corinthians,30,1994,18.2,0,6,1,16.7,0.33,0.05,0.00,0.00,0,0,Matches,fdd26d71
30,Anthoni,br BRA,GK,Internacional,23,2002,17.0,0,0,0,,0.00,0.00,,,0,0,Matches,a0b17b31
31,Marcos Antônio,br BRA,MF,São Paulo,24,2000,21.1,0,16,3,18.8,0.76,0.14,0.00,0.00,0,0,Matches,108fe016
32,Léo Aragão,br BRA,GK,Cruzeiro,22,2002,3.7,0,0,0,,0.00,0.00,,,0,0,Matches,47e05bd9
33,Guilherme Arana,br BRA,DFMF,Atlético Mineiro,27,1997,19.4,1,37,10,27.0,1.91,0.51,0.03,0.10,0,0,Matches,2b15a82a
34,Willian Arão,br BRA,MF,Santos,32,1992,8.7,0,8,1,12.5,0.92,0.12,0.00,0.00,0,0,Matches,f47a530a
35,Luiz Araújo,br BRA,MF,Flamengo,28,1996,19.6,7,45,18,40.0,2.29,0.92,0.16,0.39,0,0,Matches,fa18c72e
36,Matheus Araújo,br BRA,MF,Ceará,22,2002,3.0,1,4,2,50.0,1.33,0.67,0.25,0.50,0,0,Matches,2b0a4a75
37,Michel Araujo,uy URU,MF,Bahia,28,1996,9.5,4,19,6,31.6,2.01,0.63,0.21,0.67,0,0,Matches,1159e4ae
38,Alexander Aravena,cl CHI,MF,Grêmio,22,2002,6.5,3,18,6,33.3,2.79,0.93,0.17,0.50,0,0,Matches,4535ab5d
39,Robert Arboleda,ec ECU,DF,São Paulo,33,1991,22.9,3,13,4,30.8,0.57,0.18,0.23,0.75,0,0,Matches,269dbfc6
40,Lucas Arcanjo,br BRA,GK,Vitória,26,1998,28.3,0,0,0,,0.00,0.00,,,0,0,Matches,21803aa2
41,Matias Arezo,uy URU,FW,Grêmio,22,2002,3.0,1,9,4,44.4,3.02,1.34,0.11,0.25,0,0,Matches,484ebdb0
42,Jhon Arias,co COL,MFFW,Fluminense,27,1997,12.0,1,18,5,27.8,1.50,0.42,0.06,0.20,1,1,Matches,86d96066
43,Santiago Arias,co COL,DF,Bahia,33,1992,15.8,0,11,3,27.3,0.70,0.19,0.00,0.00,0,0,Matches,fdd60087
44,Giorgian de Arrascaeta,uy URU,MF,Flamengo,30,1994,26.1,18,77,24,31.2,2.95,0.92,0.23,0.75,2,3,Matches,be8d02dd
45,Keny Arroyo,ec ECU,MF,Cruzeiro,18,2006,7.2,2,20,11,55.0,2.79,1.53,0.10,0.18,0,0,Matches,a9c426f6
46,Arthur,br BRA,FW,Sport Recife,21,2003,2.2,0,4,0,0.0,1.80,0.00,0.00,,0,0,Matches,e93fed32
47,Artur,br BRA,MF,Botafogo–RJ,26,1998,21.3,5,46,17,37.0,2.16,0.80,0.11,0.29,0,0,Matches,105132cd
48,Rodrigo Atencio,ar ARG,MF,Sport Recife,22,2002,6.0,0,19,5,26.3,3.14,0.83,0.00,0.00,0,0,Matches,5540acb4
49,Loide Augusto,ao ANG,MF,Vasco da Gama,24,2000,2.1,0,6,2,33.3,2.81,0.94,0.00,0.00,0,0,Matches,aea6ca59
50,Leo Augusto Pereira,br BRA,FWMF,Vitória,24,2000,1.8,0,4,1,25.0,2.17,0.54,0.00,0.00,0,0,Matches,a3818875
51,Leo Augusto Pereira,br BRA,MFFW,Sport Recife,24,2000,12.3,3,40,13,32.5,3.25,1.06,0.08,0.23,0,0,Matches,a3818875
52,Renato Augusto,br BRA,MF,Fluminense,36,1988,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,83a6367a
53,Gastón Ávila,ar ARG,DF,Fortaleza,23,2001,25.8,0,19,7,36.8,0.74,0.27,0.00,0.00,0,0,Matches,f648b2e1
54,Aylon,br BRA,MFFW,Ceará,32,1992,8.8,2,21,7,33.3,2.39,0.80,0.10,0.29,0,0,Matches,a87daabb
55,Matheus Babi,br BRA,FW,Juventude,27,1997,5.3,2,13,3,23.1,2.45,0.56,0.15,0.67,0,0,Matches,f48cff2c
56,Bahia,br BRA,MF,Corinthians,19,2006,0.5,0,1,0,0.0,1.84,0.00,0.00,,0,0,Matches,a4b1b158
57,Gabriel Bahia,br BRA,DF,Botafogo–RJ,26,1998,2.6,0,2,0,0.0,0.76,0.00,0.00,,0,0,Matches,af54b2db
58,Matheus Bahia,br BRA,DF,Ceará,25,1999,27.4,0,14,3,21.4,0.51,0.11,0.00,0.00,0,0,Matches,33e3c4e5
59,Fabián Balbuena,py PAR,DF,Grêmio,33,1991,2.5,1,1,1,100.0,0.40,0.40,1.00,1.00,0,0,Matches,3626f7d9
60,Gabriel Baralhas,br BRA,MF,Vitória,26,1998,25.3,2,32,10,31.3,1.27,0.40,0.06,0.20,0,0,Matches,b7838aad
61,Danilo Barbosa,br BRA,DFMF,Botafogo–RJ,28,1996,0.4,0,1,1,100.0,2.31,2.31,0.00,0.00,0,0,Matches,0557ff4f
62,Diogo Barbosa,br BRA,DF,Fortaleza,32,1992,13.8,1,7,1,14.3,0.51,0.07,0.14,1.00,0,0,Matches,7b9ef26b
63,Gabriel Barbosa,br BRA,FWMF,Cruzeiro,28,1996,12.0,6,47,20,42.6,3.91,1.66,0.13,0.30,1,2,Matches,72d0e1b6
64,Lucas Barbosa,br BRA,MF,RB Bragantino,23,2001,25.9,4,49,18,36.7,1.89,0.70,0.08,0.22,0,0,Matches,a28eac7e
65,Alexander Barboza,ar ARG,DF,Botafogo–RJ,29,1995,23.9,0,23,5,21.7,0.96,0.21,0.00,0.00,0,0,Matches,b1805c80
66,Adam Bareiro,py PAR,FW,Fortaleza,28,1996,9.8,7,28,19,67.9,2.84,1.93,0.25,0.37,1,2,Matches,afb7f0ea
67,Chrystian Barletta,br BRA,MF,Sport Recife,23,2001,16.7,2,48,20,41.7,2.88,1.20,0.04,0.10,0,0,Matches,d594cf58
68,Álvaro Barreal,ar ARG,MFFW,Santos,24,2000,24.9,9,56,20,35.7,2.25,0.80,0.16,0.45,1,1,Matches,ffca53e1
69,Jordan Barrera,co COL,MF,Botafogo–RJ,18,2006,3.4,1,8,3,37.5,2.35,0.88,0.13,0.33,0,0,Matches,abe7a9c6
70,Kadir Barría,pa PAN,FW,Botafogo–RJ,17,2007,1.9,2,4,2,50.0,2.07,1.03,0.50,1.00,0,0,Matches,b594dfe1
71,Cauan Barros,br BRA,MF,Vasco da Gama,20,2004,14.9,1,13,5,38.5,0.87,0.34,0.08,0.20,0,0,Matches,6ae4627b
72,Enmerson Batalla,co COL,MFFW,Juventude,23,2001,14.6,4,25,12,48.0,1.71,0.82,0.16,0.33,0,0,Matches,2ca7201b
73,Paulo Baya,br BRA,MFFW,Ceará,25,1999,4.8,0,13,5,38.5,2.68,1.03,0.00,0.00,0,0,Matches,879d5577
74,Paulo Baya,br BRA,MF,Fluminense,25,1999,0.4,1,2,2,100.0,4.74,4.74,0.50,0.50,0,0,Matches,879d5577
75,Erick Belé,br BRA,MF,Palmeiras,18,2007,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,7d96f93b
76,Luis Benedetti,br BRA,DF,Palmeiras,18,2006,4.2,1,4,1,25.0,0.95,0.24,0.25,1.00,0,0,Matches,3690d4f3
77,Alan Benítez,py PAR,DFMF,Internacional,31,1994,6.1,0,4,3,75.0,0.65,0.49,0.00,0.00,0,0,Matches,5c7c798b
78,Alexandro Bernabei,ar ARG,DFMF,Internacional,24,2000,28.7,0,37,12,32.4,1.29,0.42,0.00,0.00,0,0,Matches,67b09a18
79,Facundo Bernal,uy URU,MF,Fluminense,21,2003,11.5,0,15,4,26.7,1.30,0.35,0.00,0.00,0,0,Matches,ca34fa2e
80,Bernard,br BRA,MFFW,Atlético Mineiro,32,1992,13.4,1,16,5,31.3,1.19,0.37,0.06,0.20,0,0,Matches,ab4b3e35
81,Bernardo,br BRA,DF,Juventude,19,2005,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,dcd5858f
82,Matheus Bianqui,br BRA,MF,Mirassol,27,1998,1.6,0,9,2,22.2,5.51,1.22,0.00,0.00,0,0,Matches,9da67b35
83,Matheus Bidu,br BRA,DFMF,Corinthians,25,1999,21.8,0,19,5,26.3,0.87,0.23,0.00,0.00,0,0,Matches,b8a72293
84,Biel,br BRA,MFFW,Atlético Mineiro,23,2001,6.6,1,17,4,23.5,2.57,0.61,0.06,0.25,0,0,Matches,1cb046cd
85,Rafael Bilu,br BRA,MFFW,Juventude,25,1999,7.6,1,10,4,40.0,1.31,0.52,0.10,0.25,0,0,Matches,26880429
86,Damián Bobadilla,py PAR,MF,São Paulo,23,2001,23.3,4,33,13,39.4,1.41,0.56,0.12,0.31,0,0,Matches,ad7d6437
87,Yannick Bolasie,cd COD,FWMF,Cruzeiro,35,1989,2.0,0,6,1,16.7,3.05,0.51,0.00,0.00,0,0,Matches,715fc0fe
88,Gabriel Bontempo,br BRA,MF,Santos,20,2005,11.1,2,10,3,30.0,0.90,0.27,0.20,0.67,0,0,Matches,3f384407
89,Thiago Borbas,uy URU,FW,RB Bragantino,22,2002,6.4,1,12,4,33.3,1.86,0.62,0.08,0.25,0,0,Matches,04f9c45f
90,Daniel Borges,br BRA,DF,Mirassol,31,1993,10.0,2,9,4,44.4,0.90,0.40,0.22,0.50,0,0,Matches,71879f82
91,Marllon Borges,br BRA,DF,Ceará,32,1992,23.1,2,8,2,25.0,0.35,0.09,0.25,1.00,0,0,Matches,d0b29bbd
92,Pedro Borges,br BRA,MF,Fortaleza,27,1997,0.4,0,0,0,,0.00,0.00,,,0,0,Matches,5bb699c4
93,Pedro Borges,br BRA,MF,Sport Recife,27,1997,5.6,0,6,3,50.0,1.06,0.53,0.00,0.00,0,0,Matches,5bb699c4
94,Rafael Borré,co COL,FW,Internacional,29,1995,20.1,5,49,15,30.6,2.44,0.75,0.10,0.33,1,1,Matches,c68da769
95,Lucas Braga,br BRA,MFDF,Vitória,28,1996,10.8,1,11,4,36.4,1.02,0.37,0.09,0.25,0,0,Matches,8a0a73ad
96,Bilal Brahimi,dz ALG,FWMF,Santos,24,2000,0.2,0,1,1,100.0,4.29,4.29,0.00,0.00,0,0,Matches,02bcaf8e
97,Martin Braithwaite,dk DEN,FW,Grêmio,33,1991,16.2,6,37,16,43.2,2.29,0.99,0.16,0.38,4,4,Matches,fd771f95
98,Gabriel Brazão,br BRA,GK,Santos,24,2000,37.7,0,0,0,,0.00,0.00,,,0,0,Matches,18c697e8
99,Brenno,br BRA,GK,Fortaleza,25,1999,15.0,0,0,0,,0.00,0.00,,,0,0,Matches,f002e8eb
100,Breno,br BRA,MFFW,Fortaleza,29,1996,25.3,6,56,19,33.9,2.21,0.75,0.11,0.32,0,0,Matches,e0016d00
101,Breno,br BRA,MF,Corinthians,19,2005,28.0,1,20,4,20.0,0.71,0.14,0.05,0.25,0,0,Matches,4c532308
102,Emanuel Brítez,ar ARG,DF,Fortaleza,32,1992,17.7,0,10,1,10.0,0.56,0.06,0.00,0.00,0,0,Matches,fb29d05d
103,Bruninho,br BRA,MF,Fortaleza,19,2005,0.8,0,1,0,0.0,1.32,0.00,0.00,,0,0,Matches,b37ff7d6
104,Fabrício Bruno,br BRA,DF,Cruzeiro,28,1996,32.8,3,20,7,35.0,0.61,0.21,0.15,0.43,0,0,Matches,470d197b
105,Kaiki Bruno,br BRA,DF,Cruzeiro,21,2003,33.3,1,41,10,24.4,1.23,0.30,0.02,0.10,0,0,Matches,1a36e9cb
106,Gustavo Caballero,py PAR,MF,Santos,23,2001,3.7,1,8,3,37.5,2.17,0.81,0.13,0.33,0,0,Matches,90a38ca7
107,Arthur Cabral,br BRA,FW,Botafogo–RJ,26,1998,16.0,4,42,14,33.3,2.63,0.88,0.10,0.29,0,0,Matches,a820e429
108,Cacá,br BRA,DF,Corinthians,25,1999,15.6,2,7,4,57.1,0.45,0.26,0.29,0.50,0,0,Matches,27f4a416
109,Raúl Cáceres,py PAR,DFMF,Vitória,33,1991,18.7,2,12,7,58.3,0.64,0.37,0.17,0.29,0,0,Matches,6d9dc5be
110,Cadu,br BRA,FW,Atlético Mineiro,20,2004,0.1,0,2,0,0.0,25.71,0.00,0.00,,0,0,Matches,6fefa986
111,Calebe,br BRA,MF,Fortaleza,24,2000,2.5,1,5,2,40.0,1.97,0.79,0.20,0.50,0,0,Matches,c84af55e
112,Jonathan Calleri,ar ARG,FW,São Paulo,31,1993,1.3,0,3,1,33.3,2.23,0.74,0.00,0.00,0,1,Matches,6922f806
113,João Camargo,br BRA,FW,Flamengo,17,2007,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,e9e13ae9
114,Camilo,br BRA,MFDF,Grêmio,25,1999,8.2,0,8,2,25.0,0.98,0.24,0.00,0.00,0,0,Matches,dfb81359
115,Camutanga,br BRA,DF,Vitória,31,1993,13.8,0,8,2,25.0,0.58,0.15,0.00,0.00,0,0,Matches,c455a045
116,Luan Cândido,br BRA,DF,Sport Recife,23,2001,14.6,1,12,5,41.7,0.82,0.34,0.08,0.20,0,0,Matches,ca151606
117,Germán Cano,ar ARG,FW,Fluminense,36,1988,16.6,6,42,13,31.0,2.52,0.78,0.14,0.46,1,1,Matches,9ccf4e14
118,Agustín Canobbio,uy URU,MF,Fluminense,26,1998,23.4,4,51,16,31.4,2.18,0.68,0.08,0.25,1,1,Matches,4f5a2f38
119,Aitor Cantalapiedra,es ESP,MFFW,Vitória,28,1996,14.2,3,26,11,42.3,1.84,0.78,0.12,0.27,0,0,Matches,21a260a8
120,Juninho Capixaba,br BRA,DFMF,RB Bragantino,27,1997,21.9,1,27,5,18.5,1.23,0.23,0.04,0.20,0,0,Matches,91ba7336
121,Johan Carbonero,co COL,MFFW,Internacional,25,1999,16.2,5,43,17,39.5,2.66,1.05,0.12,0.29,1,1,Matches,9eca9710
122,Felipe Cardoso,br BRA,MF,Vitória,21,2003,0.9,0,3,1,33.3,3.46,1.15,0.00,0.00,0,0,Matches,5a9b1b3b
123,Edson Carioca,br BRA,FWMF,Mirassol,27,1997,13.0,4,32,12,37.5,2.47,0.92,0.13,0.33,0,0,Matches,14c679d6
124,Igor Cariús,br BRA,DFMF,Sport Recife,31,1993,19.2,1,21,8,38.1,1.10,0.42,0.05,0.13,0,0,Matches,662475de
125,Carlinhos,br BRA,FW,Vitória,27,1997,1.8,1,10,1,10.0,5.45,0.55,0.10,1.00,0,0,Matches,37fe7c99
126,Antonio Carlos,br BRA,DF,Sport Recife,31,1993,3.0,0,0,0,,0.00,0.00,,,0,0,Matches,949fe1e8
127,Jean Carlos Vicente,br BRA,MF,Juventude,32,1992,2.3,0,4,1,25.0,1.77,0.44,0.00,0.00,0,0,Matches,db4b7637
128,Ruan Carneiro,br BRA,GK,Juventude,34,1990,4.0,0,0,0,,0.00,0.00,,,0,0,Matches,8c3efb53
129,Jorge Carrascal,co COL,MF,Flamengo,26,1998,9.1,2,19,3,15.8,2.08,0.33,0.11,0.67,0,0,Matches,3f9f0d62
130,André Carrillo,pe PER,MF,Corinthians,33,1991,14.2,1,9,2,22.2,0.63,0.14,0.11,0.50,0,0,Matches,7527558b
131,Gabriel Carvalho,br BRA,MF,Internacional,17,2007,0.8,0,3,1,33.3,3.75,1.25,0.00,0.00,0,0,Matches,0f335ab2
132,Cássio,br BRA,GK,Cruzeiro,37,1987,34.3,0,0,0,,0.00,0.00,,,0,0,Matches,d42f6326
133,Iury de Castilho,br BRA,FWMF,Mirassol,29,1995,5.5,1,9,3,33.3,1.62,0.54,0.11,0.33,0,0,Matches,555311f2
134,Caue,br BRA,DF,RB Bragantino,18,2006,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,b8f62eb5
135,Murilo Cerqueira,br BRA,DF,Palmeiras,27,1997,18.4,1,11,3,27.3,0.60,0.16,0.09,0.33,0,0,Matches,10fe831e
136,Julio Cesar,br BRA,DF,Fluminense,18,2006,2.0,0,4,0,0.0,2.05,0.00,0.00,,0,0,Matches,94325798
137,Kayky Chagas,br BRA,MF,Bahia,21,2003,9.9,1,16,6,37.5,1.62,0.61,0.06,0.17,0,0,Matches,17734ea0
138,Gabriel Chapecó,br BRA,GK,Grêmio,24,2000,6.0,0,0,0,,0.00,0.00,,,0,0,Matches,a24714b4
139,Chico,br BRA,DF,Sport Recife,26,1998,11.8,0,8,2,25.0,0.68,0.17,0.00,0.00,0,0,Matches,4edc0ef3
140,Chico,br BRA,MF,Mirassol,33,1991,3.9,1,6,3,50.0,1.55,0.77,0.17,0.33,0,0,Matches,bad7d8a9
141,Christian,br BRA,MF,Cruzeiro,24,2000,26.2,5,42,14,33.3,1.60,0.53,0.12,0.36,0,0,Matches,a856b456
142,Cipriano,br BRA,DF,Juventude,22,2002,2.1,0,0,0,,0.00,0.00,,,0,0,Matches,f1a1c9e2
143,Claudinho,br BRA,DFMF,Vitória,24,2000,10.0,0,7,1,14.3,0.70,0.10,0.00,0.00,0,0,Matches,a921647d
144,Clayson,br BRA,MF,Mirassol,29,1995,2.8,0,5,2,40.0,1.76,0.70,0.00,0.00,0,0,Matches,85c1009d
145,Clayton,br BRA,DF,Internacional,24,2000,8.5,0,7,2,28.6,0.83,0.24,0.00,0.00,0,0,Matches,30afd787
146,Cleiton,br BRA,DF,Flamengo,21,2003,0.9,0,0,0,,0.00,0.00,,,0,0,Matches,741c6251
147,Mateus Cocão,br BRA,MF,Vasco da Gama,22,2002,6.6,0,5,0,0.0,0.76,0.00,0.00,,0,0,Matches,35f270b7
148,Igor Coronado,br BRA,MF,Corinthians,32,1992,3.8,1,10,4,40.0,2.63,1.05,0.10,0.25,0,0,Matches,8d9544ea
149,Joaquín Correa,ar ARG,MFFW,Botafogo–RJ,30,1994,10.0,2,19,10,52.6,1.90,1.00,0.11,0.20,0,0,Matches,45b9b619
150,Francisco da Costa,br BRA,FW,Mirassol,29,1995,13.2,6,25,8,32.0,1.89,0.61,0.24,0.75,0,0,Matches,bc16535e
151,Philippe Coutinho,br BRA,MF,Vasco da Gama,32,1992,26.7,5,65,24,36.9,2.43,0.90,0.08,0.21,0,0,Matches,0ef89a37
152,Lucas Crispim,br BRA,MF,Fortaleza,30,1994,4.7,1,7,3,42.9,1.49,0.64,0.14,0.33,0,0,Matches,6501ff61
153,Franco Cristaldo,ar ARG,MF,Grêmio,28,1996,14.0,1,23,9,39.1,1.64,0.64,0.04,0.11,0,0,Matches,25b26e2e
154,Gustavo Cuellar,co COL,MF,Grêmio,32,1992,9.8,0,6,2,33.3,0.61,0.20,0.00,0.00,0,0,Matches,cdd22fcf
155,Tomás Cuello,ar ARG,MFFW,Atlético Mineiro,24,2000,13.4,1,39,12,30.8,2.92,0.90,0.03,0.08,0,0,Matches,5c8615dd
156,Carlos Cuesta,co COL,DF,Vasco da Gama,25,1999,12.1,1,6,2,33.3,0.49,0.16,0.17,0.50,0,0,Matches,574fff8c
157,Cuiabano,br BRA,DFMF,Botafogo–RJ,21,2003,17.0,5,28,13,46.4,1.64,0.76,0.18,0.38,0,0,Matches,7e49bdbd
158,Jair Cunha,br BRA,DF,Botafogo–RJ,19,2005,11.0,0,8,1,12.5,0.73,0.09,0.00,0.00,0,0,Matches,ac31d35e
159,Lucas Cunha,br BRA,DF,Sport Recife,28,1997,4.8,0,0,0,,0.00,0.00,,,0,0,Matches,0b8748ac
160,Danielzinho,br BRA,MF,Mirassol,30,1994,36.3,0,32,4,12.5,0.88,0.11,0.00,0.00,0,0,Matches,320de24c
161,Danilo,br BRA,DF,Flamengo,33,1991,15.7,1,6,3,50.0,0.38,0.19,0.17,0.33,0,0,Matches,94b2001f
162,David,br BRA,MFFW,Vasco da Gama,29,1995,8.3,2,15,6,40.0,1.80,0.72,0.13,0.33,0,0,Matches,92f9ace5
163,Matheus Davó,br BRA,FW,Mirassol,25,1999,0.4,0,2,0,0.0,5.14,0.00,0.00,,0,0,Matches,e48e1310
164,Nicolás De La Cruz,uy URU,MF,Flamengo,27,1997,11.3,0,17,4,23.5,1.50,0.35,0.00,0.00,0,0,Matches,8fda5c72
165,Gabriel Delfim,br BRA,GK,Atlético Mineiro,22,2002,2.0,0,0,0,,0.00,0.00,,,0,0,Matches,012beb6e
166,Deyverson,br BRA,FW,Fortaleza,33,1991,13.0,7,34,13,38.2,2.61,1.00,0.21,0.54,1,1,Matches,2e5e846d
167,Enzo Díaz,ar ARG,MFDF,São Paulo,29,1995,20.9,0,14,3,21.4,0.67,0.14,0.00,0.00,0,0,Matches,411d2dc0
168,Lautaro Díaz,ar ARG,FW,Santos,26,1998,11.3,3,20,6,30.0,1.76,0.53,0.15,0.50,0,0,Matches,28b89ba7
169,Lautaro Díaz,ar ARG,FW,Cruzeiro,26,1998,0.9,0,1,1,100.0,1.06,1.06,0.00,0.00,0,0,Matches,28b89ba7
170,Dieguinho Diego,br BRA,MF,Ceará,29,1995,29.5,0,18,4,22.2,0.61,0.14,0.00,0.00,0,0,Matches,7e5a7340
171,Dieguinho,br BRA,MFFW,Corinthians,17,2007,5.0,0,11,2,18.2,2.20,0.40,0.00,0.00,0,0,Matches,5c983aa2
172,Diogenes,br BRA,GK,Santos,24,2001,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,858e2e40
173,Dodi,br BRA,MF,Grêmio,28,1996,26.0,0,8,2,25.0,0.31,0.08,0.00,0.00,0,0,Matches,2830b8f7
174,Fabricio Domínguez,uy URU,MF,Sport Recife,26,1998,1.1,0,2,0,0.0,1.80,0.00,0.00,,0,0,Matches,2798cc56
175,Matheus Donelli,br BRA,GK,Corinthians,22,2002,5.0,0,0,0,,0.00,0.00,,,0,0,Matches,7c736064
176,Thiago dos Santos,br BRA,MFDF,Fluminense,35,1989,3.2,0,1,0,0.0,0.31,0.00,0.00,,0,0,Matches,5408d2b2
177,Alexis Duarte,py PAR,DF,Santos,24,2000,4.5,0,2,2,100.0,0.44,0.44,0.00,0.00,0,0,Matches,a9f8c8c2
178,David Duarte,br BRA,DF,Bahia,30,1995,24.5,1,21,5,23.8,0.86,0.20,0.05,0.20,0,0,Matches,91bf16f7
179,Dudu,br BRA,MFFW,Cruzeiro,33,1992,2.4,1,2,1,50.0,0.84,0.42,0.50,1.00,0,0,Matches,895ef5ec
180,Dudu,br BRA,MF,Vitória,25,1999,3.5,0,6,1,16.7,1.69,0.28,0.00,0.00,0,0,Matches,c9ebe876
181,Dudu,br BRA,MF,Atlético Mineiro,33,1992,11.6,3,24,7,29.2,2.06,0.60,0.13,0.43,0,0,Matches,895ef5ec
182,Edenílson,br BRA,MF,Grêmio,35,1989,20.0,3,27,11,40.7,1.35,0.55,0.11,0.27,0,0,Matches,4e50f20e
183,Eder,br BRA,DF,Ceará,29,1995,3.0,0,3,2,66.7,1.00,0.67,0.00,0.00,0,0,Matches,ba1a2c4c
184,Edu,br BRA,DF,Vitória,24,2000,11.9,0,4,1,25.0,0.34,0.08,0.00,0.00,0,0,Matches,01dc4e41
185,Carlos Eduardo,br BRA,MF,Cruzeiro,35,1989,10.1,1,9,4,44.4,0.89,0.40,0.11,0.25,0,0,Matches,1a234d32
186,Carlos Eduardo,br BRA,FWMF,Mirassol,28,1996,8.2,2,19,9,47.4,2.33,1.10,0.11,0.22,1,1,Matches,27c23008
187,Carlos Eduardo,br BRA,FWMF,Vitória,28,1996,0.5,0,1,0,0.0,2.20,0.00,0.00,,0,0,Matches,27c23008
188,Rodrigo Ely,br BRA,DF,Grêmio,31,1993,0.4,0,0,0,,0.00,0.00,,,0,0,Matches,fd47b4f2
189,Emerson,br BRA,DF,Flamengo,26,1999,13.9,1,14,6,42.9,1.01,0.43,0.07,0.17,0,0,Matches,df8b52a5
