,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
538,Luan Peres Petroni,br BRA,DF,Santos,30,1994,22.8,0,4,1,25.0,0.18,0.04,0.00,0.00,0,0,Matches,a5549ec1
539,Pernambuco,br BRA,MF,Juventude,26,1998,0.6,0,2,0,0.0,3.16,0.00,0.00,,0,0,Matches,ec61b68f
540,Petterson,br BRA,MF,Juventude,21,2004,0.9,0,3,0,0.0,3.38,0.00,0.00,,0,0,Matches,9943597e
541,Pierre,br BRA,MF,Fortaleza,22,2002,9.3,0,3,1,33.3,0.32,0.11,0.00,0.00,0,0,Matches,064cd740
542,Yago Pikachu,br BRA,MFFW,Fortaleza,32,1992,15.4,2,24,7,29.2,1.56,0.45,0.08,0.29,2,2,Matches,462f1e13
543,Joaquín Piquerez,uy URU,DFMF,Palmeiras,26,1998,27.3,3,34,11,32.4,1.25,0.40,0.09,0.27,2,3,Matches,46009f44
544,Rafael Pires,br BRA,GK,São Paulo,35,1989,35.0,0,0,0,,0.00,0.00,,,0,0,Matches,539f6761
545,Lucas Piton,br BRA,DF,Vasco da Gama,24,2000,28.3,1,13,2,15.4,0.46,0.07,0.08,0.50,0,0,Matches,defce7f1
546,Isidro Pitta,py PAR,FW,RB Bragantino,25,1999,12.1,7,24,10,41.7,1.98,0.82,0.29,0.70,0,0,Matches,e9fc7295
547,Diego Pituca,br BRA,MF,Santos,32,1992,4.4,1,4,2,50.0,0.92,0.46,0.25,0.50,0,0,Matches,6f5249ed
548,Gonzalo Plata,ec ECU,MFFW,Flamengo,24,2000,15.0,4,25,10,40.0,1.67,0.67,0.16,0.40,0,0,Matches,54bcdeb0
